namc_code,namc_term_diacritical,query
AAB-72(SK5Y),(a) bhrūvyudāsaḥ,(a) bhrūvyudāsaḥ (a) bhrūvyudāsaḥ bruvyudasah (kevalavata) भ्रूव्युदासः (केवलवात)
AAB-73,,manyastambah (kevalavata) मन्यास्तम्भः (केवलवात)
SM1N(AAB-74),(a) mukhaśoṣaḥ,"(a) mukhaśoṣaḥ (a) mukhaśoṣaḥ mukhasoshah (kevalavata) मुखशोषः (केवलवात) it is characterised by dryness of the tongue and may be associated with dryness of mouth, bitterness, heartburn. this may be explained by: (a) vitiation of kapha, vata affecting the tongue."
SM81(AAB-75),(a) mūtranigrahaḥ,"(a) mūtranigrahaḥ (a) mūtranigrahaḥ mutranigrahah (kevalavata) मूत्रनिग्रहः (केवलवात) it is characterised by retention of urine, inability to urinate, abdominal pain. this may be explained by: (a) retention of the urine due to vātadosha."
AAB-76,rajōnāśaḥ (kēvalavāta),rajōnāśaḥ (kēvalavāta) rajōnāśaḥ (kēvalavāta) rajonasah (kevalavata) रजोनाशः (केवलवात)
SN42(AAB-77),(a) raukṣyam,"(a) raukṣyam (a) raukṣyam raukshyam (kevalavata) रौक्ष्यम् (केवलवात) it is characterised by dryness, scaliness and cracking of extremities and face. this may be explained by: (a) increased vata affecting skin"
AAB-78(SP9Y),(a) lomaharṣaḥ,(a) lomaharṣaḥ (a) lomaharṣaḥ lomaharshah (kevalavata) लोमहर्षः (केवलवात)
AAB-79(SK0Y),(a) lalāṭabhedaḥ,(a) lalāṭabhedaḥ (a) lalāṭabhedaḥ lalatabedah (kevalavata) ललाटभेदः (केवलवात)
AAB-80(SP1Y),(a) trikagrahaḥ,(a) trikagrahaḥ (a) trikagrahaḥ trikagrahah (kevalavata) त्रिकग्रहः (केवलवात)
AAB-81,vartmastambhaḥ (kēvalavāta),vartmastambhaḥ (kēvalavāta) vartmastambhaḥ (kēvalavāta) vartmastambah (kevalavata) वर्त्मस्तम्भः (केवलवात)
AAB-82(SK7Y),(a) vartmasaṅkocaḥ,(a) vartmasaṅkocaḥ (a) vartmasaṅkocaḥ vartmasa~gkocah (kevalavata) वर्त्मसङ्कोचः (केवलवात)
AAB-83(SP9Y),(a) vakṣoparodhaḥ,(a) vakṣoparodhaḥ (a) vakṣoparodhaḥ vakshoparodhah (kevalavata) वक्षोपरोधः (केवलवात)
AAB-84(SP9Y),(a) vakṣastodaḥ,(a) vakṣastodaḥ (a) vakṣastodaḥ vakshastodah (kevalavata) वक्षस्तोदः (केवलवात)
SK53(AAB-85),(a) vāk-saṅgaḥ,"(a) vāk saṅgaḥ (a) vāk saṅgaḥ vak sa~ggah (kevalavata) वाक् सङ्गः (केवलवात) it is characterised by loss of speech clarity, lalling, strained speech, may be aggravated due to excess speech. this may be explained by: (a) aggravagtion of vata affecting kapha and faculty of speech."
AAB-86(SP9Y),(a) vācālatā,(a) vācālatā (a) vācālatā vacalata (kevalavata) वाचालता (केवलवात)
AAB-87(SP1Y),"(a) vātakhuḍḍatā,                    (a) vātakaṇṭakaḥ","(a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ (a) vātakhuḍḍatā, (a) vātakaṇṭakaḥ vatakhuddata vatakantakah (kevalavata) वातखुड्डता वातकण्टकः (केवलवात)"
AAB-88(SP9Y),(a) vāmanatvam,(a) vāmanatvam (a) vāmanatvam vamanatvam (kevalavata) वामनत्वम् (केवलवात)
AAB-89(SM37),(a) viḍ-bhedaḥ,(a) viḍ bhedaḥ (a) viḍ bhedaḥ vid bedah (kevalavata) विड् भेदः (केवलवात)
AAB-90,vipādikā (nānātmaja) (kēvalavāta),vipādikā (nānātmaja) (kēvalavāta) vipādikā (nānātmaja) (kēvalavāta) vipadika (nanatmaja) (kevalavata) विपादिका (नानात्मज) (केवलवात)
AAB-91(SQ04),(a) viṣādaḥ (a) dīnatā,(a) viṣādaḥ (a) dīnatā (a) viṣādaḥ (a) dīnatā vishadah dinata (kevalavata) विषादः दीनता (केवलवात)
AAB-92(SN3Y),(a) vṛṣaṇākṣepaḥ,(a) vṛṣaṇākṣepaḥ (a) vṛṣaṇākṣepaḥ vrushanakshepah (kevalavata) वृषणाक्षेपः (केवलवात)
AAB-93(SP4Y),(a) vaṅkṣaṇānāhaḥ,(a) vaṅkṣaṇānāhaḥ (a) vaṅkṣaṇānāhaḥ va~gkshananahah (kevalavata) वङ्क्षणानाहः (केवलवात)
AAB-94(SP9Y),(a) vyathā,(a) vyathā (a) vyathā vyatha (kevalavata) व्यथा (केवलवात)
AAB-95(SL7Y),(a) śirāsphūrtiḥ,(a) śirāsphūrtiḥ (a) śirāsphūrtiḥ siraspurtih (kevalavata) शिरास्फूर्तिः (केवलवात)
AAB-96,śirōruk (kēvalavāta),śirōruk (kēvalavāta) śirōruk (kēvalavāta) siroruk (kevalavata) शिरोरुक् (केवलवात)
SN03(AAB-97),(a) śukrakṣayaḥ,"(a) śukrakṣayaḥ (a) śukrakṣayaḥ sukrakshayah (kevalavata) शुक्रक्षयः (केवलवात) it is characterised by decreased quantity and quality of semen, decreased sexual power, spermatorrhoea. this may be explained by: (a) vitiation of all three dosha affecting male reproductive system."
AAB-98,śaṅkhabhēdaḥ (kēvalavāta),śaṅkhabhēdaḥ (kēvalavāta) śaṅkhabhēdaḥ (kēvalavāta) sa~gkhabedah (kevalavata) शङ्खभेदः (केवलवात)
SN07(AAB-99),(a) śephastambhaḥ,(a) śephastambhaḥ (a) śephastambhaḥ sepastambah (kevalavata) शेफस्तम्भः (केवलवात) it is characterised by painful penile erection. this may be explained by: (a) vitiated vata affecting the penis.
AAB-100(SP9Y),(a) śaityam,(a) śaityam (a) śaityam saityam (kevalavata) शैत्यम् (केवलवात)
AAB-101,śyāvāruṇāsyatā (kēvalavāta),śyāvāruṇāsyatā (kēvalavāta) śyāvāruṇāsyatā (kēvalavāta) syavarunasyata (kevalavata) श्यावारुणास्यता (केवलवात)
AAB-102,śrōṇibhēdaḥ (kēvalavāta),śrōṇibhēdaḥ (kēvalavāta) śrōṇibhēdaḥ (kēvalavāta) sronibedah (kevalavata) श्रोणिभेदः (केवलवात)
AAB-103(SP9Y),(a) saṅkocaḥ,(a) saṅkocaḥ (a) saṅkocaḥ sa~gkocah (kevalavata) सङ्कोचः (केवलवात)
AAB-104,svēdanāśaḥ (kēvalavāta),svēdanāśaḥ (kēvalavāta) svēdanāśaḥ (kēvalavāta) svedanasah (kevalavata) स्वेदनाशः (केवलवात)
AAB-105(SP9Y),(a) śramaḥ,(a) śramaḥ (a) śramaḥ sramah (kevalavata) श्रमः (केवलवात)
AAB-106,sarvāṅgarōgaḥ/sarvāṅgavātaḥ (kēvalavāta),sarvāṅgarōgaḥ sarvāṅgavātaḥ (kēvalavāta) sarvāṅgarōgaḥ sarvāṅgavātaḥ (kēvalavāta) sarva~ggarogah sarva~ggavatah (kevalavata) सर्वाङ्गरोगः सर्वाङ्गवातः (केवलवात)
AAB-107(SK52),(a) stambhaḥ,(a) stambhaḥ (a) stambhaḥ stambah (kevalavata) स्तम्भः (केवलवात)
AAB-108(SP4Y),(a) hanubhedaḥ,(a) hanubhedaḥ (a) hanubhedaḥ hanubedah (kevalavata) हनुभेदः (केवलवात)
