namc_code,namc_term_diacritical,short_definition,long_definition
AAD-2.12,(a) kaphāvṛta-apānavātaḥ,-,-
AAD-2.13,kaphapittāvr̥tavātaḥ,-,-
AAD-3,dhātvāvr̥tavātaḥ,-,-
AAD-3.1,(a) raktāvṛtavātaḥ,-,-
AAD-3.2,(a) māṃsāvṛtavātaḥ,-,-
AAD-3.3,(a) medasāvṛtavātaḥ,-,-
AAD-3.4,(a) asthyāvṛtavātaḥ,-,-
AAD-3.5,(a) majjāvṛtavātaḥ,-,-
AAD-3.6,(a) śukrāvṛtavātaḥ,-,-
AAD-3.7,sarvadhātvāvṛtavātaḥ,-,-
AAD-4,(a) malāvṛtavātaḥ,-,-
AAD-4.1,(a) mūtrāvṛtavātaḥ,-,-
