code,title,fully specified name,description,inclusions,exclusions,index terms,chapter
JA00.01,"Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence and complicated by delayed or excessive bleeding. This condition is characterised by incomplete passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, incomplete, complicated by delayed or excessive haemorrhage",chapter18
JA00.02,"Spontaneous abortion, incomplete, complicated by embolism",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence and complicated by embolism. This condition is characterised by incomplete passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, incomplete, complicated by embolism",chapter18
JA00.03,"Spontaneous abortion, incomplete, with other or unspecified complications",,,,,"Spontaneous abortion, incomplete, with other or unspecified complications",chapter18
JA00.04,"Spontaneous abortion, incomplete, without complication",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence without any associated complications. This condition is characterised by incomplete passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, incomplete, without complication",chapter18
JA00.05,"Spontaneous abortion, complete or unspecified, complicated by genital tract or pelvic infection",,,,,"Spontaneous abortion, complete or unspecified, complicated by genital tract or pelvic infection",chapter18
JA00.06,"Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence, and complicated by delayed or excessive bleeding. This condition is characterised by complete or unspecified non-induced embryonic or fetal death or passage of products of conception prior to 22 weeks' gestation or weighing less than 500 grams.",,,"Spontaneous abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",chapter18
JA00.07,"Spontaneous abortion, complete or unspecified, complicated by embolism",,"A condition caused by immunological factors, abnormal ovum or uterine body, maternal disease or infection, or cervical incompetence, and complicated by embolism. This condition is characterised by complete or unspecified non-induced embryonic or fetal death or passage of products of conception prior to 22 weeks gestation or weighing less than 500 grams.",,,"Spontaneous abortion, complete or unspecified, complicated by embolism",chapter18
JA00.08,"Spontaneous abortion, complete or unspecified, with other or unspecified complications",,,,,"Spontaneous abortion, complete or unspecified, with other or unspecified complications",chapter18
JA00.09,"Spontaneous abortion, complete or unspecified, without complication",,,,,"Spontaneous abortion, complete or unspecified, without complication; accidental abortion; miscarriage NOS; spontaneous abortion NOS; spontaneous miscarriage",chapter18
JA00.1,Induced abortion,,"Induced abortion (also referred to as Artificial termination of pregnancy) is a complete expulsion or extraction from a woman of an embryo or a fetus (irrespective of the duration of the pregnancy), following a deliberate interruption of an ongoing pregnancy by medical or surgical means, which is not intended to result in a live birth. Induced abortions are distinct from cases of spontaneous abortion and stillbirth.",therapeutic abortion,,Induced abortion; APLA - [abortus provocatus lege artis]; Illegal abortion; Nonmedical induced abortion; abortion induced for legal indications; abortion induced for medical indications; abortion induced for psychiatric indications; artificial termination of pregnancy; legal Interruption of pregnancy; legal abortion; legal termination of pregnancy; legally induced abortion; medical abortion; therapeutic abortion; therapeutic termination of pregnancy,chapter18
JA00.10,"Induced abortion, incomplete, complicated by genital tract or pelvic infection",,,,,"Induced abortion, incomplete, complicated by genital tract or pelvic infection",chapter18
JA00.11,"Induced abortion, incomplete, complicated by delayed or excessive haemorrhage",,,,,"Induced abortion, incomplete, complicated by delayed or excessive haemorrhage",chapter18
JA00.12,"Induced abortion, incomplete, complicated by embolism",,,,,"Induced abortion, incomplete, complicated by embolism",chapter18
JA00.13,"Induced abortion, incomplete, with other or unspecified complications",,,,,"Induced abortion, incomplete, with other or unspecified complications",chapter18
JA00.14,"Induced abortion, incomplete, without complication",,,,,"Induced abortion, incomplete, without complication",chapter18
JA00.15,"Induced abortion, complete or unspecified, complicated by genital tract or pelvic infection",,,,,"Induced abortion, complete or unspecified, complicated by genital tract or pelvic infection",chapter18
JA00.16,"Induced abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",,"A condition caused by surgical, pharmacological, mechanical, artificial, or other unspecified interventions and complicated by delayed or excessive bleeding. This condition is characterised by termination of pregnancy and intentional embryonic or fetal death with complete or unspecified expulsion of products of conception from the uterus before the fetus is viable.",,,"Induced abortion, complete or unspecified, complicated by delayed or excessive haemorrhage",chapter18
JA00.17,"Induced abortion, complete or unspecified, complicated by embolism",,"A condition caused by surgical, pharmacological, mechanical, artificial, or other unspecified interventions and complicated by embolism. This condition is characterised by termination of pregnancy and intentional embryonic or fetal death with complete or unspecified expulsion of products of conception from the uterus before the fetus is viable.",,,"Induced abortion, complete or unspecified, complicated by embolism",chapter18
JA00.18,"Induced abortion, complete or unspecified, with other or unspecified complication",,,,,"Induced abortion, complete or unspecified, with other or unspecified complication; Medical abortion, complete or unspecified, with other complication",chapter18
JA00.19,"Induced abortion, complete or unspecified, without complication",,,,,"Induced abortion, complete or unspecified, without complication; Medical abortion, complete or unspecified, without complication",chapter18
JA00.2,Unspecified abortion,,,,,Unspecified abortion,chapter18
